Country2000,US2000,China2000,Country2024,US2024,China2024
Malaysia,"36,506","8,045",Madagascar,787,"1,680"
Maldives,100,1,Malawi,68,266
Mali,42,35,Malaysia,"80,240","212,009"
Malta,817,95,Maldives,97,619
Marshall Islands,66,2,Mali,57,"1,078"
Martinique,24,,Malta,581,"4,540"
Mauritania,17,30,Marshall Islands,148,"5,312"
Mauritius,310,113,Martinique,202,
Mexico,"247,275","1,824",Mauritania,143,"2,439"
Micronesia,43,2,Mauritius,283,"1,103"
Moldova,133,8,Mayotte,4,
Monaco,51,,Mexico,"839,892","109,273"
Mongolia,134,323,Micronesia,53,123
Montserrat,11,0,Moldova,190,465
Morocco,964,336,Monaco,210,
Mozambique,81,33,Mongolia,424,"18,269"
Namibia,125,12,Montenegro,43,226
Nauru,5,,Montserrat,18,1
Nepal,265,204,Morocco,"7,174","9,041"
Netherlands,"31,507","7,923",Mozambique,366,"5,172"
Netherlands Antilles,"1,393",33,Namibia,436,"1,368"
New Caledonia,51,3,Nauru,3,20
New Zealand,"4,050","1,054",Nepal,241,"2,198"
Nicaragua,969,43,Netherlands,"123,782","109,922"
Niger,44,,New Caledonia,63,814
Nigeria,"11,260",856,New Zealand,"10,116","20,143"
Niue,0,,Nicaragua,"7,563","1,252"
Norfolk Island,2,,Niger,52,836
Norway,"7,253","1,097",Nigeria,"9,873","21,905"
Oman,457,"3,321",Niue,5,19
Pakistan,"2,629","1,162",Norfolk Island,0,1
Palau,32,,Norway,"11,175","10,172"
Panama,"1,919","1,291",Oman,"3,274","36,734"
Papua New Guinea,57,226,Pakistan,"7,259","23,069"
Paraguay,487,89,Palau,23,43
Peru,"3,655",705,Panama,"11,258","12,830"
Philippines,"22,734","3,142",Papua New Guinea,146,"4,606"
Pitcairn Islands,3,,Paraguay,"3,515","2,592"
Poland,"1,799",960,Peru,"20,587","43,165"
Portugal,"2,563",308,Philippines,"23,475","71,625"
Qatar,677,472,Pitcairn,1,0
Reunion,4,,Poland,"25,673","44,924"
Romania,706,298,Portugal,"9,637","9,266"
Russia,"9,751","8,003",Qatar,"5,638","24,213"
Rwanda,24,6,Reunion,56,
Samoa,70,2,Romania,"5,164","13,445"
San Marino,8,,Russia,"3,534","244,574"
Sao Tome and Principe,2,,Rwanda,75,670
Saudi Arabia,"20,599","3,098",Samoa,60,113
Senegal,86,53,San Marino,105,
Serbia and Montenegro,32,68,Sao Tome and Principe,2,21
Seychelles,15,2,Saudi Arabia,"25,911","107,429"
Sierra Leone,23,9,Senegal,586,"5,827"
Singapore,"36,985","10,821",Serbia,"1,024","5,729"
Slovakia,351,56,Seychelles,24,84
Slovenia,452,70,Sierra Leone,149,"1,782"
Solomon Islands,6,14,Singapore,"89,236","111,205"
Somalia,5,1,Sint Maarten,855,65
South Africa,"7,299","2,051",Slovakia,"8,740","9,714"
Spain,"12,036","2,772",Slovenia,"6,625","6,634"
Sri Lanka,"2,207",458,Solomon Islands,14,596
St Helena,4,,Somalia,52,972
St Kitts and Nevis,95,,South Africa,"20,475","52,511"
St. Lucia,130,2,South Sudan,60,466
St Pierre and Miquelon,8,,Spain,"45,189","50,002"
St Vincent and the Grenadines,47,,Sri Lanka,"3,384","5,367"
Sudan,19,890,St Lucia,"1,051",43
Suriname,270,11,St Pierre and Miquelon,3,0
"Svalbard, Jan Mayen Island",0,,St Vincent and the Grenadines,151,34
Sweden,"14,151","3,503",Sudan,70,"1,394"
Switzerland,"20,114","2,210",Suriname,474,425
Syria,385,174,"Svalbard, Jan Mayen Island",0,
Taiwan,"64,909",,Sweden,"26,183","18,892"
Tajikistan,21,17,Switzerland,"88,387","62,878"
Tanzania,77,91,Syria,13,390
Thailand,"23,003","6,624",Taiwan,"158,601","293,055"
Togo,17,80,Tajikistan,61,"3,863"
Tokelau,16,,Tanzania,778,"8,883"
Tonga,12,,Thailand,"81,047","133,997"
Trinidad and Tobago,"3,329",27,Togo,374,"3,499"
Tunisia,383,99,Tokelau,0,
Turkey,"6,762","1,205",Tonga,23,70
Turkmenistan,112,16,Trinidad and Tobago,"6,266","1,167"
Turks and Caicos Islands,95,0,Tunisia,"1,627","2,882"
Tuvalu,-,,Turkey,"32,039","42,890"
Uganda,57,15,Turkmenistan,97,"10,648"
Ukraine,"1,063",591,Turks and Caicos Islands,725,20
United Arab Emirates,"3,256","2,495",Tuvalu,1,19
